REF_DATE,GEO,Age (15C),Gender (3),Statistics (2),Coordinate,Immigrant status and period of immigration (9),Symbol,Non-immigrants[2],Symbol,Immigrants[3],Symbol,Before 2001[4],Symbol,2001 to 2005[5],Symbol,2006 to 2010[6],Symbol,2011 to 2015[7],Symbol,2016 to 2021[8],Symbol,Non-permanent residents[9],Symbol
2021,Canada,25 to 54 years,Total - Gender,2021 Counts,1.8.1.1,14405900,,9800980,,4068720,,1279590,,575070,,649165,,712115,,852775,,536195,
2021,Canada,25 to 54 years,Total - Gender,% distribution (2021),1.8.1.2,39.7,,27,,11.2,,3.5,,1.6,,1.8,,2,,2.3,,1.5,
2021,Canada,25 to 54 years,Men+,2021 Counts,1.8.2.1,7101745,,4902405,,1910750,,610080,,263780,,296250,,331130,,409505,,288595,
2021,Canada,25 to 54 years,Men+,% distribution (2021),1.8.2.2,19.5,,13.5,,5.3,,1.7,,0.7,,0.8,,0.9,,1.1,,0.8,
2021,Canada,25 to 54 years,Women+,2021 Counts,1.8.3.1,7304150,,4898575,,2157975,,669505,,311295,,352920,,380985,,443275,,247600,
2021,Canada,25 to 54 years,Women+,% distribution (2021),1.8.3.2,20.1,,13.5,,5.9,,1.8,,0.9,,1,,1,,1.2,,0.7,
2021,Canada,25 to 34 years,Total - Gender,2021 Counts,1.9.1.1,4898625,,3461970,,1102280,,207770,,138460,,144660,,188905,,422480,,334370,
2021,Canada,25 to 34 years,Total - Gender,% distribution (2021),1.9.1.2,13.5,,9.5,,3,,0.6,,0.4,,0.4,,0.5,,1.2,,0.9,
2021,Canada,25 to 34 years,Men+,2021 Counts,1.9.2.1,2453265,,1749875,,522440,,106640,,71180,,69865,,82930,,191830,,180955,
2021,Canada,25 to 34 years,Men+,% distribution (2021),1.9.2.2,6.8,,4.8,,1.4,,0.3,,0.2,,0.2,,0.2,,0.5,,0.5,
2021,Canada,25 to 34 years,Women+,2021 Counts,1.9.3.1,2445360,,1712095,,579845,,101130,,67285,,74800,,105975,,230650,,153415,
2021,Canada,25 to 34 years,Women+,% distribution (2021),1.9.3.2,6.7,,4.7,,1.6,,0.3,,0.2,,0.2,,0.3,,0.6,,0.4,
2021,Canada,35 to 44 years,Total - Gender,2021 Counts,1.10.1.1,4872420,,3239630,,1487585,,383915,,166985,,271995,,345200,,319490,,145205,
2021,Canada,35 to 44 years,Total - Gender,% distribution (2021),1.10.1.2,13.4,,8.9,,4.1,,1.1,,0.5,,0.7,,1,,0.9,,0.4,
2021,Canada,35 to 44 years,Men+,2021 Counts,1.10.2.1,2384020,,1616435,,690820,,187340,,66420,,115390,,160405,,161260,,76765,
2021,Canada,35 to 44 years,Men+,% distribution (2021),1.10.2.2,6.6,,4.4,,1.9,,0.5,,0.2,,0.3,,0.4,,0.4,,0.2,
2021,Canada,35 to 44 years,Women+,2021 Counts,1.10.3.1,2488405,,1623200,,796770,,196580,,100560,,156600,,184795,,158235,,68440,
2021,Canada,35 to 44 years,Women+,% distribution (2021),1.10.3.2,6.8,,4.5,,2.2,,0.5,,0.3,,0.4,,0.5,,0.4,,0.2,
2021,Canada,45 to 54 years,Total - Gender,2021 Counts,1.11.1.1,4634845,,3099375,,1478850,,687900,,269625,,232515,,178000,,110805,,56625,
2021,Canada,45 to 54 years,Total - Gender,% distribution (2021),1.11.1.2,12.8,,8.5,,4.1,,1.9,,0.7,,0.6,,0.5,,0.3,,0.2,
2021,Canada,45 to 54 years,Men+,2021 Counts,1.11.2.1,2264460,,1536100,,697485,,316105,,126185,,110990,,87790,,56415,,30880,
2021,Canada,45 to 54 years,Men+,% distribution (2021),1.11.2.2,6.2,,4.2,,1.9,,0.9,,0.3,,0.3,,0.2,,0.2,,0.1,
2021,Canada,45 to 54 years,Women+,2021 Counts,1.11.3.1,2370385,,1563280,,781365,,371795,,143445,,121525,,90210,,54390,,25745,
2021,Canada,45 to 54 years,Women+,% distribution (2021),1.11.3.2,6.5,,4.3,,2.2,,1,,0.4,,0.3,,0.2,,0.1,,0.1,
2021,Canada,55 to 64 years,Total - Gender,2021 Counts,1.12.1.1,5162365,,3791420,,1355185,,983890,,145620,,107770,,69600,,48300,,15765,
2021,Canada,55 to 64 years,Total - Gender,% distribution (2021),1.12.1.2,14.2,,10.4,,3.7,,2.7,,0.4,,0.3,,0.2,,0.1,,0,
2021,Canada,55 to 64 years,Men+,2021 Counts,1.12.2.1,2518590,,1857370,,652540,,470325,,73625,,53410,,33690,,21485,,8680,
2021,Canada,55 to 64 years,Men+,% distribution (2021),1.12.2.2,6.9,,5.1,,1.8,,1.3,,0.2,,0.1,,0.1,,0.1,,0,
2021,Canada,55 to 64 years,Women+,2021 Counts,1.12.3.1,2643770,,1934050,,702640,,513560,,71995,,54365,,35905,,26810,,7090,
2021,Canada,55 to 64 years,Women+,% distribution (2021),1.12.3.2,7.3,,5.3,,1.9,,1.4,,0.2,,0.1,,0.1,,0.1,,0,
2021,Canada,65 years and over,Total - Gender,2021 Counts,1.13.1.1,6586600,,4606270,,1971015,,1691530,,85715,,72170,,66100,,55500,,9315,
2021,Canada,65 years and over,Total - Gender,% distribution (2021),1.13.1.2,18.1,,12.7,,5.4,,4.7,,0.2,,0.2,,0.2,,0.2,,0,
2021,Canada,65 years and over,Men+,2021 Counts,1.13.2.1,3079765,,2159975,,915540,,792380,,39285,,31900,,28340,,23635,,4250,
2021,Canada,65 years and over,Men+,% distribution (2021),1.13.2.2,8.5,,5.9,,2.5,,2.2,,0.1,,0.1,,0.1,,0.1,,0,
2021,Canada,65 years and over,Women+,2021 Counts,1.13.3.1,3506835,,2446290,,1055475,,899155,,46430,,40265,,37765,,31865,,5070,
2021,Canada,65 years and over,Women+,% distribution (2021),1.13.3.2,9.7,,6.7,,2.9,,2.5,,0.1,,0.1,,0.1,,0.1,,0,
2021,Canada,65 to 74 years,Total - Gender,2021 Counts,1.14.1.1,3991130,,2884625,,1099930,,921520,,53360,,44720,,41440,,38885,,6575,
2021,Canada,65 to 74 years,Total - Gender,% distribution (2021),1.14.1.2,11,,7.9,,3,,2.5,,0.1,,0.1,,0.1,,0.1,,0,
2021,Canada,65 to 74 years,Men+,2021 Counts,1.14.2.1,1910780,,1388360,,519405,,439685,,25635,,20165,,17485,,16440,,3015,
2021,Canada,65 to 74 years,Men+,% distribution (2021),1.14.2.2,5.3,,3.8,,1.4,,1.2,,0.1,,0.1,,0,,0,,0,
2021,Canada,65 to 74 years,Women+,2021 Counts,1.14.3.1,2080350,,1496265,,580525,,481835,,27725,,24550,,23955,,22445,,3565,
2021,Canada,65 to 74 years,Women+,% distribution (2021),1.14.3.2,5.7,,4.1,,1.6,,1.3,,0.1,,0.1,,0.1,,0.1,,0,
2021,Canada,75 years and over,Total - Gender,2021 Counts,1.15.1.1,2595470,,1721645,,871080,,770005,,32355,,27450,,24660,,16620,,2740,
2021,Canada,75 years and over,Total - Gender,% distribution (2021),1.15.1.2,7.1,,4.7,,2.4,,2.1,,0.1,,0.1,,0.1,,0,,0,
2021,Canada,75 years and over,Men+,2021 Counts,1.15.2.1,1168980,,771620,,396130,,352695,,13655,,11735,,10855,,7195,,1230,
2021,Canada,75 years and over,Men+,% distribution (2021),1.15.2.2,3.2,,2.1,,1.1,,1,,0,,0,,0,,0,,0,
2021,Canada,75 years and over,Women+,2021 Counts,1.15.3.1,1426485,,950030,,474950,,417315,,18700,,15710,,13805,,9420,,1510,
2021,Canada,75 years and over,Women+,% distribution (2021),1.15.3.2,3.9,,2.6,,1.3,,1.1,,0.1,,0,,0,,0,,0,
2021,Newfoundland and Labrador,Total - Age,Total - Gender,2021 Counts,2.1.1.1,502100,,482615,,14255,,5245,,920,,1520,,2300,,4270,,5235,
2021,Newfoundland and Labrador,Total - Age,Total - Gender,% distribution (2021),2.1.1.2,1.4,,1.3,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,Total - Age,Men+,2021 Counts,2.1.2.1,246190,,236005,,7240,,2680,,445,,820,,1205,,2100,,2950,
2021,Newfoundland and Labrador,Total - Age,Men+,% distribution (2021),2.1.2.2,0.7,,0.6,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,Total - Age,Women+,2021 Counts,2.1.3.1,255910,,246610,,7010,,2570,,475,,705,,1100,,2170,,2285,
2021,Newfoundland and Labrador,Total - Age,Women+,% distribution (2021),2.1.3.2,0.7,,0.7,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,0 to 14 years,Total - Gender,2021 Counts,2.2.1.1,68140,,66495,,1280,,0,,0,,30,,350,,895,,370,
2021,Newfoundland and Labrador,0 to 14 years,Total - Gender,% distribution (2021),2.2.1.2,0.2,,0.2,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,0 to 14 years,Men+,2021 Counts,2.2.2.1,35010,,34160,,665,,0,,0,,20,,195,,450,,190,
2021,Newfoundland and Labrador,0 to 14 years,Men+,% distribution (2021),2.2.2.2,0.1,,0.1,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,0 to 14 years,Women+,2021 Counts,2.2.3.1,33135,,32335,,615,,0,,0,,10,,160,,445,,185,
2021,Newfoundland and Labrador,0 to 14 years,Women+,% distribution (2021),2.2.3.2,0.1,,0.1,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,15 years and over,Total - Gender,2021 Counts,2.3.1.1,433955,,416115,,12970,,5245,,920,,1490,,1950,,3375,,4865,
2021,Newfoundland and Labrador,15 years and over,Total - Gender,% distribution (2021),2.3.1.2,1.2,,1.1,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,15 years and over,Men+,2021 Counts,2.3.2.1,211180,,201840,,6575,,2680,,445,,795,,1005,,1650,,2765,
2021,Newfoundland and Labrador,15 years and over,Men+,% distribution (2021),2.3.2.2,0.6,,0.6,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,15 years and over,Women+,2021 Counts,2.3.3.1,222780,,214280,,6400,,2570,,475,,695,,940,,1725,,2100,
2021,Newfoundland and Labrador,15 years and over,Women+,% distribution (2021),2.3.3.2,0.6,,0.6,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,15 to 24 years,Total - Gender,2021 Counts,2.4.1.1,51430,,48145,,1265,,25,,125,,315,,250,,550,,2015,
2021,Newfoundland and Labrador,15 to 24 years,Total - Gender,% distribution (2021),2.4.1.2,0.1,,0.1,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,15 to 24 years,Men+,2021 Counts,2.4.2.1,26775,,24845,,715,,10,,70,,170,,145,,315,,1215,
2021,Newfoundland and Labrador,15 to 24 years,Men+,% distribution (2021),2.4.2.2,0.1,,0.1,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,15 to 24 years,Women+,2021 Counts,2.4.3.1,24650,,23300,,550,,15,,50,,140,,105,,240,,800,
2021,Newfoundland and Labrador,15 to 24 years,Women+,% distribution (2021),2.4.3.2,0.1,,0.1,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,15 to 19 years,Total - Gender,2021 Counts,2.5.1.1,25825,,24910,,635,,0,,35,,160,,135,,300,,280,
2021,Newfoundland and Labrador,15 to 19 years,Total - Gender,% distribution (2021),2.5.1.2,0.1,,0.1,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,15 to 19 years,Men+,2021 Counts,2.5.2.1,13430,,12930,,345,,0,,10,,80,,85,,170,,155,
2021,Newfoundland and Labrador,15 to 19 years,Men+,% distribution (2021),2.5.2.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,15 to 19 years,Women+,2021 Counts,2.5.3.1,12390,,11980,,285,,0,,25,,75,,55,,135,,120,
2021,Newfoundland and Labrador,15 to 19 years,Women+,% distribution (2021),2.5.3.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,20 to 24 years,Total - Gender,2021 Counts,2.6.1.1,25610,,23235,,635,,25,,90,,155,,115,,245,,1740,
2021,Newfoundland and Labrador,20 to 24 years,Total - Gender,% distribution (2021),2.6.1.2,0.1,,0.1,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,20 to 24 years,Men+,2021 Counts,2.6.2.1,13345,,11915,,370,,10,,65,,85,,65,,150,,1055,
2021,Newfoundland and Labrador,20 to 24 years,Men+,% distribution (2021),2.6.2.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,20 to 24 years,Women+,2021 Counts,2.6.3.1,12265,,11320,,260,,15,,25,,65,,55,,100,,685,
2021,Newfoundland and Labrador,20 to 24 years,Women+,% distribution (2021),2.6.3.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,25 to 64 years,Total - Gender,2021 Counts,2.7.1.1,267785,,256430,,8530,,2365,,715,,1070,,1630,,2740,,2830,
2021,Newfoundland and Labrador,25 to 64 years,Total - Gender,% distribution (2021),2.7.1.2,0.7,,0.7,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,25 to 64 years,Men+,2021 Counts,2.7.2.1,129445,,123815,,4085,,1100,,320,,555,,825,,1285,,1540,
2021,Newfoundland and Labrador,25 to 64 years,Men+,% distribution (2021),2.7.2.2,0.4,,0.3,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,25 to 64 years,Women+,2021 Counts,2.7.3.1,138340,,132610,,4440,,1270,,395,,520,,800,,1450,,1290,
2021,Newfoundland and Labrador,25 to 64 years,Women+,% distribution (2021),2.7.3.2,0.4,,0.4,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,25 to 54 years,Total - Gender,2021 Counts,2.8.1.1,183840,,174435,,6625,,1060,,530,,900,,1525,,2610,,2780,
2021,Newfoundland and Labrador,25 to 54 years,Total - Gender,% distribution (2021),2.8.1.2,0.5,,0.5,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,25 to 54 years,Men+,2021 Counts,2.8.2.1,88785,,84075,,3215,,505,,240,,475,,765,,1225,,1495,
2021,Newfoundland and Labrador,25 to 54 years,Men+,% distribution (2021),2.8.2.2,0.2,,0.2,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,25 to 54 years,Women+,2021 Counts,2.8.3.1,95055,,90355,,3415,,550,,290,,425,,760,,1385,,1280,
2021,Newfoundland and Labrador,25 to 54 years,Women+,% distribution (2021),2.8.3.2,0.3,,0.2,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,25 to 34 years,Total - Gender,2021 Counts,2.9.1.1,52050,,48205,,2020,,115,,125,,170,,395,,1210,,1835,
2021,Newfoundland and Labrador,25 to 34 years,Total - Gender,% distribution (2021),2.9.1.2,0.1,,0.1,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,25 to 34 years,Men+,2021 Counts,2.9.2.1,25705,,23765,,940,,60,,60,,100,,190,,525,,1000,
2021,Newfoundland and Labrador,25 to 34 years,Men+,% distribution (2021),2.9.2.2,0.1,,0.1,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,25 to 34 years,Women+,2021 Counts,2.9.3.1,26340,,24440,,1075,,55,,65,,65,,205,,685,,830,
2021,Newfoundland and Labrador,25 to 34 years,Women+,% distribution (2021),2.9.3.2,0.1,,0.1,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,35 to 44 years,Total - Gender,2021 Counts,2.10.1.1,59840,,56470,,2645,,255,,145,,350,,815,,1070,,725,
2021,Newfoundland and Labrador,35 to 44 years,Total - Gender,% distribution (2021),2.10.1.2,0.2,,0.2,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,35 to 44 years,Men+,2021 Counts,2.10.2.1,28525,,26795,,1330,,145,,50,,170,,425,,530,,395,
2021,Newfoundland and Labrador,35 to 44 years,Men+,% distribution (2021),2.10.2.2,0.1,,0.1,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,35 to 44 years,Women+,2021 Counts,2.10.3.1,31315,,29670,,1315,,110,,95,,180,,390,,535,,325,
2021,Newfoundland and Labrador,35 to 44 years,Women+,% distribution (2021),2.10.3.2,0.1,,0.1,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,45 to 54 years,Total - Gender,2021 Counts,2.11.1.1,71950,,69760,,1965,,685,,255,,380,,315,,325,,225,
2021,Newfoundland and Labrador,45 to 54 years,Total - Gender,% distribution (2021),2.11.1.2,0.2,,0.2,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,45 to 54 years,Men+,2021 Counts,2.11.2.1,34550,,33515,,945,,295,,130,,200,,150,,165,,100,
2021,Newfoundland and Labrador,45 to 54 years,Men+,% distribution (2021),2.11.2.2,0.1,,0.1,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,45 to 54 years,Women+,2021 Counts,2.11.3.1,37400,,36245,,1020,,385,,125,,180,,170,,160,,125,
2021,Newfoundland and Labrador,45 to 54 years,Women+,% distribution (2021),2.11.3.2,0.1,,0.1,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,55 to 64 years,Total - Gender,2021 Counts,2.12.1.1,83945,,81995,,1900,,1310,,185,,170,,100,,135,,45,
2021,Newfoundland and Labrador,55 to 64 years,Total - Gender,% distribution (2021),2.12.1.2,0.2,,0.2,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,55 to 64 years,Men+,2021 Counts,2.12.2.1,40660,,39745,,875,,595,,75,,80,,60,,65,,40,
2021,Newfoundland and Labrador,55 to 64 years,Men+,% distribution (2021),2.12.2.2,0.1,,0.1,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,55 to 64 years,Women+,2021 Counts,2.12.3.1,43290,,42255,,1030,,720,,110,,90,,40,,70,,10,
2021,Newfoundland and Labrador,55 to 64 years,Women+,% distribution (2021),2.12.3.2,0.1,,0.1,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,65 years and over,Total - Gender,2021 Counts,2.13.1.1,114745,,111540,,3180,,2855,,75,,105,,65,,80,,20,
2021,Newfoundland and Labrador,65 years and over,Total - Gender,% distribution (2021),2.13.1.2,0.3,,0.3,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,65 years and over,Men+,2021 Counts,2.13.2.1,54960,,53175,,1770,,1565,,55,,65,,40,,50,,10,
2021,Newfoundland and Labrador,65 years and over,Men+,% distribution (2021),2.13.2.2,0.2,,0.1,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,65 years and over,Women+,2021 Counts,2.13.3.1,59785,,58365,,1410,,1285,,20,,35,,30,,30,,10,
2021,Newfoundland and Labrador,65 years and over,Women+,% distribution (2021),2.13.3.2,0.2,,0.2,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,65 to 74 years,Total - Gender,2021 Counts,2.14.1.1,73705,,71940,,1745,,1515,,40,,65,,50,,70,,15,
2021,Newfoundland and Labrador,65 to 74 years,Total - Gender,% distribution (2021),2.14.1.2,0.2,,0.2,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,65 to 74 years,Men+,2021 Counts,2.14.2.1,36040,,35045,,990,,835,,35,,55,,35,,35,,10,
2021,Newfoundland and Labrador,65 to 74 years,Men+,% distribution (2021),2.14.2.2,0.1,,0.1,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,65 to 74 years,Women+,2021 Counts,2.14.3.1,37660,,36895,,755,,675,,0,,15,,20,,30,,10,
2021,Newfoundland and Labrador,65 to 74 years,Women+,% distribution (2021),2.14.3.2,0.1,,0.1,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,75 years and over,Total - Gender,2021 Counts,2.15.1.1,41040,,39595,,1435,,1340,,30,,35,,10,,10,,0,
2021,Newfoundland and Labrador,75 years and over,Total - Gender,% distribution (2021),2.15.1.2,0.1,,0.1,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,75 years and over,Men+,2021 Counts,2.15.2.1,18915,,18130,,785,,730,,20,,15,,0,,10,,0,
2021,Newfoundland and Labrador,75 years and over,Men+,% distribution (2021),2.15.2.2,0.1,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Newfoundland and Labrador,75 years and over,Women+,2021 Counts,2.15.3.1,22125,,21470,,655,,605,,15,,25,,10,,0,,0,
2021,Newfoundland and Labrador,75 years and over,Women+,% distribution (2021),2.15.3.2,0.1,,0.1,,0,,0,,0,,0,,0,,0,,0,
2021,"Corner Brook (CA), N.L.",Total - Age,Total - Gender,2021 Counts,3.1.1.1,28975,,28155,,660,,275,,35,,85,,95,,170,,160,
2021,"Corner Brook (CA), N.L.",Total - Age,Total - Gender,% distribution (2021),3.1.1.2,0.1,,0.1,,0,,0,,0,,0,,0,,0,,0,
2021,"Corner Brook (CA), N.L.",Total - Age,Men+,2021 Counts,3.1.2.1,14060,,13615,,355,,150,,20,,45,,55,,90,,90,
